index,unixTimestamp,TP9,AF7,AF8,TP10
0,1734037348806.5,0,0,0,0
1,1734037348810.4062,0,-4.8828125,-6.34765625,-0.48828125
2,1734037348814.3125,-2.44140625,-12.6953125,26.85546875,-0.48828125
3,1734037348818.2188,5.37109375,41.50390625,-83.49609375,2.44140625
4,1734037348822.125,-29.78515625,-273.92578125,289.55078125,-10.7421875
5,1734037348826.0312,-66.40625,-533.69140625,403.3203125,10.7421875
6,1734037348829.9375,-49.31640625,-116.2109375,108.3984375,39.55078125
7,1734037348833.8438,-55.6640625,-111.328125,164.55078125,-11.71875
8,1734037348837.75,-66.40625,-764.6484375,-165.52734375,-44.43359375
9,1734037348841.6562,-55.6640625,-514.6484375,29.296875,-10.25390625
10,1734037348845.5625,-44.43359375,182.6171875,312.01171875,19.53125
11,1734037348849.4688,-34.1796875,-14.16015625,107.91015625,8.7890625
0,1734037348853.375,-46.38671875,-596.6796875,-65.4296875,-52.734375
1,1734037348857.2812,-50.29296875,-367.1875,84.9609375,-54.6875
2,1734037348861.1875,-40.52734375,165.52734375,222.16796875,3.90625
3,1734037348865.0938,-30.76171875,2.44140625,74.70703125,-5.37109375
4,1734037348869,-11.71875,-523.92578125,-143.06640625,-54.19921875
5,1734037348872.9062,3.41796875,-697.75390625,-200.68359375,-63.4765625
6,1734037348876.8125,28.3203125,-433.59375,1.46484375,-20.99609375
7,1734037348880.7188,42.96875,-475.09765625,-95.21484375,1.46484375
8,1734037348884.625,18.5546875,-977.5390625,-486.81640625,-51.26953125
9,1734037348888.5312,-11.23046875,-552.24609375,-156.73828125,-114.74609375
10,1734037348892.4375,17.08984375,152.34375,129.8828125,-66.89453125
11,1734037348896.3438,59.5703125,71.2890625,80.56640625,1.953125
0,1734037348900.25,42.96875,-39.55078125,29.296875,-43.45703125
1,1734037348904.1562,12.20703125,12.6953125,-1.953125,-106.93359375
2,1734037348908.0625,20.5078125,25.87890625,27.83203125,-47.8515625
3,1734037348911.9688,47.36328125,31.73828125,73.73046875,12.6953125
4,1734037348915.875,41.9921875,71.77734375,66.40625,-20.01953125
5,1734037348919.7812,19.04296875,-333.0078125,-203.125,-85.44921875
6,1734037348923.6875,27.83203125,-554.6875,-257.8125,-54.19921875
7,1734037348927.5938,62.5,-694.3359375,-323.73046875,34.66796875
8,1734037348931.5,68.359375,-791.9921875,-356.4453125,28.3203125
9,1734037348935.4062,20.5078125,-165.0390625,-59.5703125,-57.12890625
