index,unixTimestamp,TP9,AF7,AF8,TP10
0,1734117504679,0,0,0,0
1,1734117504682.9062,0,0,0,0
2,1734117504686.8125,-0.48828125,-1.953125,-0.9765625,-0.9765625
3,1734117504690.7188,0,3.41796875,0.9765625,0.9765625
4,1734117504694.625,-2.44140625,-20.5078125,-9.765625,-7.8125
5,1734117504698.5312,-17.08984375,-57.6171875,-40.52734375,-22.94921875
6,1734117504702.4375,-20.99609375,-51.7578125,-50.29296875,-19.04296875
7,1734117504706.3438,-20.99609375,-49.31640625,-44.43359375,-25.390625
8,1734117504710.25,-21.97265625,-54.19921875,-44.43359375,-35.15625
9,1734117504714.1562,-15.625,-53.7109375,-40.52734375,-23.92578125
10,1734117504718.0625,-22.94921875,-54.6875,-40.52734375,-23.4375
11,1734117504721.9688,-19.04296875,-54.19921875,-38.0859375,-22.94921875
0,1734117504725.875,-9.765625,-45.8984375,-32.2265625,-16.11328125
1,1734117504729.7812,-15.13671875,-47.8515625,-29.78515625,-13.671875
2,1734117504733.6875,-20.99609375,-53.7109375,-37.109375,-12.20703125
3,1734117504737.5938,-22.4609375,-45.8984375,-41.015625,-12.20703125
4,1734117504741.5,-18.06640625,-43.45703125,-40.52734375,-11.71875
5,1734117504745.4062,-22.94921875,-48.828125,-41.9921875,-14.16015625
6,1734117504749.3125,-24.4140625,-48.828125,-40.0390625,-14.6484375
7,1734117504753.2188,-31.73828125,-48.33984375,-48.33984375,-23.4375
8,1734117504757.125,-33.69140625,-52.734375,-51.26953125,-31.73828125
9,1734117504761.0312,-33.203125,-52.734375,-43.45703125,-26.3671875
10,1734117504764.9375,-48.828125,-56.15234375,-45.41015625,-22.4609375
11,1734117504768.8438,-46.38671875,-55.6640625,-46.875,-20.5078125
0,1734117504772.75,-36.62109375,-48.828125,-39.55078125,-16.6015625
1,1734117504776.6562,-28.80859375,-41.50390625,-38.57421875,-11.23046875
2,1734117504780.5625,-21.97265625,-41.9921875,-42.48046875,-9.765625
3,1734117504784.4688,-19.53125,-45.41015625,-40.52734375,-9.765625
4,1734117504788.375,-9.765625,-42.48046875,-40.0390625,-11.71875
5,1734117504792.2812,-1.46484375,-35.64453125,-41.015625,-9.27734375
6,1734117504796.1875,1.46484375,-41.015625,-34.66796875,-6.34765625
7,1734117504800.0938,6.8359375,-43.9453125,-33.203125,-10.7421875
8,1734117504804,5.37109375,-36.1328125,-35.64453125,-9.765625
9,1734117504807.9062,0,-36.1328125,-36.62109375,-1.46484375
10,1734117504811.8125,4.8828125,-34.1796875,-34.1796875,-0.48828125
11,1734117504815.7188,5.37109375,-29.78515625,-35.15625,-13.671875
0,1734117504819.625,4.8828125,-30.76171875,-36.62109375,0
1,1734117504823.5312,0,-33.69140625,-34.1796875,0.48828125
2,1734117504827.4375,-1.953125,-35.15625,-37.109375,-15.13671875
3,1734117504831.3438,-0.48828125,-38.57421875,-39.0625,-12.20703125
4,1734117504835.25,-16.11328125,-47.36328125,-33.69140625,-15.625
5,1734117504839.1562,-20.99609375,-51.26953125,-33.69140625,-21.97265625
6,1734117504843.0625,-18.06640625,-49.8046875,-34.1796875,-22.4609375
7,1734117504846.9688,-22.4609375,-50.29296875,-35.64453125,-22.4609375
8,1734117504850.875,-30.76171875,-52.734375,-39.55078125,-27.83203125
9,1734117504854.7812,-32.2265625,-43.45703125,-34.1796875,-29.78515625
10,1734117504858.6875,-23.4375,-39.55078125,-31.73828125,-24.4140625
11,1734117504862.5938,-28.3203125,-49.31640625,-34.66796875,-32.71484375
0,1734117504866.5,-28.80859375,-52.734375,-32.2265625,-37.109375
1,1734117504870.4062,-29.296875,-55.6640625,-27.34375,-33.203125
2,1734117504874.3125,-32.2265625,-56.640625,-28.3203125,-40.52734375
3,1734117504878.2188,-34.66796875,-56.15234375,-28.80859375,-41.9921875
4,1734117504882.125,-33.69140625,-53.22265625,-25.87890625,-37.59765625
5,1734117504886.0312,-28.3203125,-50.78125,-28.3203125,-40.0390625
6,1734117504889.9375,-30.76171875,-49.31640625,-29.78515625,-35.64453125
7,1734117504893.8438,-39.55078125,-48.828125,-24.90234375,-30.2734375
8,1734117504897.75,-40.0390625,-52.734375,-24.4140625,-20.01953125
9,1734117504901.6562,-25.87890625,-50.78125,-27.34375,3.90625
10,1734117504905.5625,-24.4140625,-53.7109375,-28.80859375,-4.8828125
11,1734117504909.4688,-24.90234375,-54.6875,-30.2734375,-17.08984375
0,1734117504913.375,-16.6015625,-48.828125,-31.73828125,-9.765625
1,1734117504917.2812,-4.39453125,-45.8984375,-28.3203125,-3.41796875
2,1734117504921.1875,2.9296875,-43.9453125,-20.5078125,2.9296875
3,1734117504925.0938,-5.859375,-49.8046875,-23.92578125,1.46484375
4,1734117504929,-9.765625,-52.734375,-25.390625,-5.37109375
