index,unixTimestamp,TP9,AF7,AF8,TP10
0,1734117564491.5,0,0,0,0
1,1734117564495.4062,-0.48828125,0,-0.48828125,-0.48828125
2,1734117564499.3125,-0.48828125,-1.46484375,-0.9765625,-0.48828125
3,1734117564503.2188,0.9765625,1.953125,0.48828125,-0.48828125
4,1734117564507.125,-7.32421875,-11.71875,-5.859375,-0.48828125
5,1734117564511.0312,-7.8125,-32.71484375,-23.4375,-8.30078125
6,1734117564514.9375,-7.8125,-29.78515625,-23.4375,-16.11328125
7,1734117564518.8438,-19.53125,-30.76171875,-25.390625,-19.04296875
8,1734117564522.75,-20.99609375,-35.15625,-34.66796875,-26.3671875
9,1734117564526.6562,-27.34375,-39.55078125,-31.25,-25.390625
10,1734117564530.5625,-26.85546875,-40.52734375,-25.87890625,-21.97265625
11,1734117564534.4688,-23.92578125,-39.0625,-24.4140625,-33.69140625
0,1734117564538.375,-32.71484375,-40.52734375,-27.83203125,-40.52734375
1,1734117564542.2812,-30.2734375,-37.109375,-29.296875,-31.25
2,1734117564546.1875,-23.4375,-34.66796875,-27.34375,-20.99609375
3,1734117564550.0938,-14.6484375,-36.62109375,-22.4609375,-9.765625
4,1734117564554,-7.8125,-35.64453125,-24.90234375,-7.8125
5,1734117564557.9062,-7.8125,-32.2265625,-26.85546875,-0.9765625
6,1734117564561.8125,0.48828125,-26.85546875,-20.5078125,7.8125
7,1734117564565.7188,2.9296875,-26.85546875,-20.01953125,4.39453125
8,1734117564569.625,-4.8828125,-32.2265625,-23.4375,-0.48828125
9,1734117564573.5312,-5.859375,-30.2734375,-26.85546875,-9.765625
10,1734117564577.4375,-2.9296875,-27.83203125,-28.3203125,-8.7890625
11,1734117564581.3438,-14.16015625,-28.80859375,-33.69140625,-5.859375
0,1734117564585.25,-21.484375,-27.83203125,-29.78515625,-15.625
1,1734117564589.1562,-16.11328125,-27.34375,-23.92578125,-25.390625
2,1734117564593.0625,-11.23046875,-24.90234375,-22.4609375,-26.85546875
3,1734117564596.9688,-8.30078125,-21.484375,-22.94921875,-26.85546875
4,1734117564600.875,-5.859375,-19.53125,-12.6953125,-19.04296875
5,1734117564604.7812,-8.30078125,-23.92578125,-12.20703125,-12.20703125
6,1734117564608.6875,-24.4140625,-26.3671875,-25.390625,-20.01953125
7,1734117564612.5938,-33.69140625,-28.80859375,-29.78515625,-38.0859375
8,1734117564616.5,-31.25,-32.71484375,-32.2265625,-45.8984375
9,1734117564620.4062,-41.9921875,-31.73828125,-29.78515625,-38.57421875
10,1734117564624.3125,-50.78125,-31.73828125,-23.4375,-35.64453125
11,1734117564628.2188,-54.19921875,-36.62109375,-25.87890625,-52.24609375
0,1734117564632.125,-47.36328125,-35.15625,-36.62109375,-57.12890625
1,1734117564636.0312,-43.45703125,-35.64453125,-35.15625,-45.41015625
2,1734117564639.9375,-42.48046875,-35.15625,-23.92578125,-37.59765625
3,1734117564643.8438,-35.15625,-32.71484375,-22.4609375,-30.2734375
4,1734117564647.75,-25.87890625,-32.71484375,-26.85546875,-19.53125
5,1734117564651.6562,-28.80859375,-36.1328125,-26.85546875,-18.06640625
6,1734117564655.5625,-33.69140625,-38.57421875,-24.4140625,-15.625
7,1734117564659.4688,-26.3671875,-34.66796875,-21.97265625,-18.06640625
8,1734117564663.375,-24.90234375,-30.76171875,-17.578125,-12.6953125
9,1734117564667.2812,-25.390625,-32.2265625,-21.484375,-4.39453125
10,1734117564671.1875,-21.484375,-34.1796875,-25.390625,-13.18359375
11,1734117564675.0938,-22.4609375,-35.15625,-24.90234375,-12.6953125
0,1734117564679,-21.484375,-33.69140625,-26.3671875,-5.37109375
1,1734117564682.9062,-6.8359375,-26.3671875,-21.484375,6.34765625
2,1734117564686.8125,-11.23046875,-26.3671875,-20.5078125,9.27734375
3,1734117564690.7188,-21.97265625,-28.80859375,-19.53125,-0.9765625
4,1734117564694.625,-19.04296875,-22.94921875,-13.671875,0.48828125
5,1734117564698.5312,-16.6015625,-26.85546875,-18.06640625,-6.8359375
6,1734117564702.4375,-15.13671875,-31.73828125,-20.5078125,-9.765625
7,1734117564706.3438,-23.4375,-29.78515625,-20.5078125,-5.859375
8,1734117564710.25,-35.64453125,-33.69140625,-20.01953125,-10.25390625
9,1734117564714.1562,-37.59765625,-31.25,-18.5546875,-8.30078125
10,1734117564718.0625,-29.296875,-28.80859375,-25.87890625,-16.6015625
11,1734117564721.9688,-27.34375,-28.80859375,-31.73828125,-20.5078125
0,1734117564725.875,-24.90234375,-33.69140625,-35.64453125,-19.04296875
1,1734117564729.7812,-23.92578125,-37.59765625,-35.15625,-22.94921875
2,1734117564733.6875,-25.87890625,-35.64453125,-21.97265625,-13.671875
3,1734117564737.5938,-21.97265625,-34.1796875,-16.11328125,-5.859375
4,1734117564741.5,-14.16015625,-26.3671875,-17.08984375,0.9765625
5,1734117564745.4062,-16.11328125,-25.390625,-20.01953125,-7.8125
6,1734117564749.3125,-17.08984375,-27.83203125,-21.484375,-15.625
7,1734117564753.2188,-17.578125,-30.76171875,-33.203125,-11.71875
8,1734117564757.125,-23.92578125,-37.109375,-38.0859375,-8.7890625
9,1734117564761.0312,-21.97265625,-32.71484375,-33.203125,-15.13671875
10,1734117564764.9375,-16.11328125,-31.25,-33.69140625,-12.6953125
11,1734117564768.8438,-14.16015625,-32.71484375,-28.80859375,-8.30078125
0,1734117564772.75,-14.6484375,-29.78515625,-31.25,-15.625
1,1734117564776.6562,-9.765625,-31.25,-36.1328125,-15.625
2,1734117564780.5625,-15.13671875,-31.25,-31.73828125,-10.25390625
3,1734117564784.4688,-24.90234375,-20.5078125,-28.3203125,-2.9296875
4,1734117564788.375,-24.4140625,-21.484375,-33.69140625,-8.30078125
5,1734117564792.2812,-30.2734375,-29.78515625,-32.71484375,-19.53125
6,1734117564796.1875,-24.90234375,-31.25,-24.4140625,-21.97265625
7,1734117564800.0938,-17.08984375,-30.2734375,-19.04296875,-23.4375
8,1734117564804,-16.6015625,-29.78515625,-21.484375,-18.06640625
9,1734117564807.9062,-20.99609375,-33.69140625,-26.85546875,-12.6953125
10,1734117564811.8125,-14.6484375,-31.73828125,-24.4140625,-14.16015625
11,1734117564815.7188,-19.53125,-30.76171875,-16.6015625,-18.5546875
0,1734117564819.625,-30.2734375,-36.62109375,-23.92578125,-23.4375
1,1734117564823.5312,-36.1328125,-32.2265625,-26.85546875,-31.73828125
2,1734117564827.4375,-45.41015625,-30.76171875,-25.390625,-34.66796875
3,1734117564831.3438,-50.29296875,-34.66796875,-30.2734375,-36.1328125
4,1734117564835.25,-43.9453125,-28.3203125,-30.76171875,-20.01953125
5,1734117564839.1562,-37.109375,-27.34375,-33.203125,-20.01953125
6,1734117564843.0625,-37.109375,-31.73828125,-33.203125,-33.203125
7,1734117564846.9688,-37.109375,-32.2265625,-34.66796875,-27.34375
8,1734117564850.875,-41.50390625,-33.203125,-38.0859375,-34.1796875
